Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Double Sided (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Double Sided (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Double Sided (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=None, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,$71.79,$70.24,December 4 - 9,$79.55,$77.61,December 2 - 4,$84.21,$82.04,December 2 - 3,$105.72,$102.47,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,$70.83,$69.33,December 4 - 9,$78.35,$76.47,December 2 - 4,$82.86,$80.75,December 2 - 3,$103.71,$100.56,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,$74.07,$72.40,December 4 - 9,$97.79,$94.94,December 2 - 4,$125.25,$121.02,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x5.5 Open (4.25x5.5 Closed), SIDES=Same Image Both Sides (4/4), PAPER OR STOCK=12pt C2S Cardstock, COATING=None, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
23,$68.80,$67.40,December 4 - 9,$75.81,$74.06,December 2 - 4,$80.02,$78.06,December 2 - 3,$99.45,$96.51,November 26 - December 2,"Exact Quantity=0, PRINT SIZE=8x6 Open (4x6 Closed), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0, Variable Data=0",25
