Product ID,Economy Price,Economy No Of Days,Fast Price,Fast No Of Days,Faster Price,Faster No Of Days,Crazy Fast Price,Crazy fast No Of Days,Labels,Quantity
41,$54.24,February 3 - 5,$67.80,January 30 - 31,$75.93,January 30,$108.47,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$53.72,February 3 - 5,$67.16,January 30 - 31,$75.21,January 30,$107.45,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$53.57,February 3 - 5,$66.96,January 30 - 31,$75.00,January 30,$107.14,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$53.57,February 3 - 5,$66.96,January 30 - 31,$75.00,January 30,$107.14,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$73.89,January 30 - 31,$82.76,January 30,$123.04,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$73.89,January 30 - 31,$82.76,January 30,$123.04,January 28 - 29,"PRINT SIZE=2x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$50.43,February 3 - 5,$63.04,January 30 - 31,$70.60,January 30,$100.86,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.92,February 3 - 5,$62.40,January 30 - 31,$69.88,January 30,$99.83,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 3 - 5,$62.20,January 30 - 31,$69.67,January 30,$99.52,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 3 - 5,$62.20,January 30 - 31,$69.67,January 30,$99.52,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$69.26,January 30 - 31,$77.57,January 30,$115.28,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$69.26,January 30 - 31,$77.57,January 30,$115.28,January 28 - 29,"PRINT SIZE=2x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.89,February 3 - 5,$59.87,January 30 - 31,$67.05,January 30,$95.78,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.38,February 3 - 5,$59.22,January 30 - 31,$66.33,January 30,$94.76,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.22,February 3 - 5,$59.03,January 30 - 31,$66.11,January 30,$94.45,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$47.22,February 3 - 5,$59.03,January 30 - 31,$66.11,January 30,$94.45,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$66.18,January 30 - 31,$74.12,January 30,$110.11,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$66.18,January 30 - 31,$74.12,January 30,$110.11,January 28 - 29,"PRINT SIZE=2x2.75, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$46.62,February 3 - 5,$58.28,January 30 - 31,$65.27,January 30,$93.25,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$46.11,February 3 - 5,$57.64,January 30 - 31,$64.55,January 30,$92.22,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$45.95,February 3 - 5,$57.44,January 30 - 31,$64.34,January 30,$91.91,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$45.95,February 3 - 5,$57.44,January 30 - 31,$64.34,January 30,$91.91,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$64.64,January 30 - 31,$72.39,January 30,$107.53,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$64.64,January 30 - 31,$72.39,January 30,$107.53,January 28 - 29,"PRINT SIZE=2x3, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$42.82,February 3 - 5,$53.52,January 30 - 31,$59.94,January 30,$85.63,January 28 - 29,"PRINT SIZE=2x3.25, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$42.30,February 3 - 5,$52.88,January 30 - 31,$59.22,January 30,$84.61,January 28 - 29,"PRINT SIZE=2x3.25, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$42.15,February 3 - 5,$52.68,January 30 - 31,$59.01,January 30,$84.29,January 28 - 29,"PRINT SIZE=2x3.25, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$42.15,February 3 - 5,$52.68,January 30 - 31,$59.01,January 30,$84.29,January 28 - 29,"PRINT SIZE=2x3.25, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$60.01,January 30 - 31,$67.21,January 30,$99.77,January 28 - 29,"PRINT SIZE=2x3.25, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
